complaint_id,user_id,user_name,user_role,complaint_description,problem_category,responsible_department,location,severity,priority,affected_people,status,created_at,resolved_at,predicted_resolution_hours,actual_resolution_hours,feedback_rating
CMP00116,STU2381,Student_2381,Student,AC issue in library,Library,Library Administration,Electronics Lab,Medium,4,88,Closed,2026-04-07 03:51:00,2026-04-07 08:21:00,4.5,4.5,1.0
CMP00117,STU6482,Student_6482,Student,poor wifi signal,WiFi/Network,IT/Network,Cafeteria,Medium,3,14,Resolved,2025-10-17 12:26:00,2025-10-17 22:14:00,9.8,8.9,3.0
CMP00118,STU6731,Student_6731,Staff,toilet water problem,Plumbing,Plumbing Maintenance,Admin Office,Medium,3,37,Assigned,2026-09-10 04:21:00,,11.9,,
CMP00119,STU3093,Student_3093,Student,chair issue in library,Library,Library Administration,Block D,Medium,4,85,In Progress,2025-03-28 09:35:00,,17.9,,
CMP00120,STU3253,Student_3253,Student,chair issue in library,Library,Library Administration,Hostel B,Medium,3,58,Resolved,2025-08-08 10:49:00,2025-08-08 21:37:00,10.8,11.5,1.0
CMP00121,STU7172,Student_7172,Student,chair broken,Furniture,Civil/Maintenance,Hostel B,High,4,34,Closed,2025-02-08 21:21:00,2025-02-09 06:15:00,8.9,6.2,2.0
CMP00122,STU8277,Student_8277,Staff,spillage needs cleaning,Cleaning,Housekeeping,ECE Department,Medium,3,61,Resolved,2025-02-14 13:23:00,2025-02-15 05:17:00,15.9,14.5,4.0
CMP00123,STU8564,Student_8564,Staff,LAN port not working,WiFi/Network,IT/Network,Computer Lab 2,Medium,4,113,Closed,2025-07-18 11:43:00,2025-07-19 00:55:00,13.2,11.6,4.0
CMP00124,STU2680,Student_2680,Student,shuttle unavailable,Transport,Transport,Auditorium,Critical,5,96,Resolved,2025-05-22 08:03:00,2025-05-22 11:39:00,3.6,1.1,3.0
CMP00125,STU1436,Student_1436,Staff,tap not working,Plumbing,Plumbing Maintenance,AI Lab,Medium,4,90,Resolved,2025-04-04 07:52:00,2025-04-04 14:16:00,6.4,6.2,1.0
CMP00126,STU3392,Student_3392,Student,printer not working,IT/AV,IT/AV Support,Mechanical Lab,Low,3,86,Assigned,2025-01-29 10:59:00,,22.4,,
CMP00127,STU4533,Student_4533,Student,power socket damaged,Electrical,Electrical Maintenance,Hostel A,Medium,3,66,Resolved,2025-05-23 22:30:00,2025-05-24 10:24:00,11.9,12.5,5.0
CMP00128,STU7878,Student_7878,Staff,projector issue in lab,Laboratory,Laboratory Maintenance,Hostel B,Medium,3,62,Assigned,2025-10-23 07:19:00,,12.0,,
CMP00129,STU6780,Student_6780,Student,water leakage,Plumbing,Plumbing Maintenance,Hostel A,Medium,2,1,In Progress,2025-09-05 22:09:00,,15.6,,
CMP00130,STU9914,Student_9914,Student,hostel cleaning required,Hostel,Hostel Maintenance,Library,Medium,4,135,Submitted,2025-03-29 16:23:00,,12.4,,
CMP00131,STU2698,Student_2698,Staff,smart board issue,IT/AV,IT/AV Support,Block A,Medium,3,62,Submitted,2025-01-17 11:50:00,,14.3,,
CMP00132,STU2033,Student_2033,Staff,classroom not cleaned,Cleaning,Housekeeping,Mechanical Lab,Medium,3,35,Closed,2025-06-29 21:29:00,2025-06-30 09:11:00,11.7,10.8,1.0
CMP00133,STU9897,Student_9897,Staff,desk damaged,Furniture,Civil/Maintenance,Block A,High,5,102,In Progress,2025-02-12 10:59:00,,7.1,,
CMP00134,STU8159,Student_8159,Staff,chair broken,Furniture,Civil/Maintenance,ECE Department,Medium,4,95,In Progress,2025-02-18 20:21:00,,10.7,,
CMP00135,STU7955,Student_7955,Student,equipment maintenance required,Laboratory,Laboratory Maintenance,Seminar Hall,Medium,3,22,Resolved,2025-07-11 15:44:00,2025-07-12 09:32:00,17.8,19.4,4.0
CMP00136,STU3730,Student_3730,Staff,water heater not working,Hostel,Hostel Maintenance,Hostel C,Medium,4,110,Resolved,2025-04-16 02:20:00,2025-04-16 12:38:00,10.3,9.6,3.0
CMP00137,STU2229,Student_2229,Staff,CCTV not working,Security,Security,CSE Department,High,4,15,In Progress,2025-12-28 19:27:00,,9.2,,
CMP00138,STU6933,Student_6933,Staff,ventilation problem,HVAC,HVAC Maintenance,CSE Department,Medium,4,94,Submitted,2026-03-25 01:08:00,,13.6,,
CMP00139,STU7521,Student_7521,Staff,hostel room issue,Hostel,Hostel Maintenance,Parking Area,Low,3,94,Resolved,2026-04-06 11:23:00,2026-04-07 04:41:00,17.3,18.0,3.0
CMP00140,STU4515,Student_4515,Staff,wifi not working,WiFi/Network,IT/Network,Main Block,High,5,115,Closed,2026-05-27 16:24:00,2026-05-27 23:48:00,7.4,9.3,4.0
CMP00141,STU6692,Student_6692,Student,wifi not working,WiFi/Network,IT/Network,Block D,High,5,82,Resolved,2026-04-08 05:57:00,2026-04-08 14:57:00,9.0,11.7,5.0
CMP00142,STU3275,Student_3275,Student,parking problem,Transport,Transport,IoT Lab,High,4,52,Assigned,2025-06-28 11:32:00,,6.9,,
CMP00143,STU6067,Student_6067,Staff,CCTV not working,Security,Security,Mechanical Lab,Medium,3,17,Closed,2026-07-19 04:39:00,2026-07-19 12:57:00,8.3,10.3,4.0
CMP00144,STU6644,Student_6644,Student,vehicle entry issue,Transport,Transport,ECE Department,Medium,4,133,Resolved,2025-11-21 20:04:00,2025-11-22 06:40:00,10.6,10.2,5.0
CMP00145,STU3653,Student_3653,Staff,noise complaint,Library,Library Administration,Library,High,4,43,Assigned,2025-02-26 03:33:00,,8.4,,
CMP00146,STU5496,Student_5496,Student,computer lab network issue,Laboratory,Laboratory Maintenance,Mechanical Lab,Critical,5,51,Submitted,2026-06-16 09:54:00,,3.6,,
CMP00147,STU1674,Student_1674,Student,light issue in library,Library,Library Administration,Parking Area,Medium,4,87,Resolved,2026-08-18 04:10:00,2026-08-18 14:22:00,10.2,10.2,1.0
CMP00148,STU5745,Student_5745,Staff,tube light flickering,Electrical,Electrical Maintenance,ECE Department,Medium,4,140,Submitted,2026-03-03 19:40:00,,9.0,,
CMP00149,STU7809,Student_7809,Staff,security light issue,Security,Security,Admin Office,Medium,4,113,Submitted,2026-04-10 02:44:00,,7.8,,
CMP00150,STU2739,Student_2739,Staff,security light issue,Security,Security,Electronics Lab,Medium,4,132,Resolved,2025-12-20 12:08:00,2025-12-20 22:20:00,10.2,12.4,2.0
CMP00151,STU6364,Student_6364,Staff,CCTV not working,Security,Security,AI Lab,Medium,3,41,In Progress,2026-01-29 19:26:00,,12.6,,
CMP00152,STU2475,Student_2475,Staff,internet connection slow,WiFi/Network,IT/Network,Hostel A,Critical,5,6,In Progress,2026-04-24 15:56:00,,3.2,,
CMP00153,STU5681,Student_5681,Student,vehicle entry issue,Transport,Transport,Computer Lab 2,Low,3,121,Resolved,2026-05-22 19:56:00,2026-05-23 13:02:00,17.1,17.5,1.0
